op,in_shapes,out_shape,H,D,NH,NKV,T,Tk,I,V,M,K,N,backend,device,avg_ms
FLASH_ATTN_EXT,"Q{256,8,256,1}; KV{256,8192,8,1}","{256,8,256,1}",2048,256,8,8,256,8192,,,,,,cpu-ggml,host,36.204
FLASH_ATTN_EXT,"Q{256,8,256,1}; KV{256,8192,1,1}","{256,8,256,1}",2048,256,8,1,256,8192,,,,,,cpu-ggml,host,50.255
FLASH_ATTN_EXT,"Q{256,8,256,1}; KV{256,8192,4,1}","{256,8,256,1}",2048,256,8,4,256,8192,,,,,,cpu-ggml,host,56.693
FLASH_ATTN_EXT,"Q{256,8,1024,1}; KV{256,256,8,1}","{256,8,1024,1}",2048,256,8,8,1024,256,,,,,,cpu-ggml,host,6.032
FLASH_ATTN_EXT,"Q{256,8,1024,1}; KV{256,256,1,1}","{256,8,1024,1}",2048,256,8,1,1024,256,,,,,,cpu-ggml,host,7.233
FLASH_ATTN_EXT,"Q{256,8,1024,1}; KV{256,256,4,1}","{256,8,1024,1}",2048,256,8,4,1024,256,,,,,,cpu-ggml,host,5.681
FLASH_ATTN_EXT,"Q{256,8,1024,1}; KV{256,2048,8,1}","{256,8,1024,1}",2048,256,8,8,1024,2048,,,,,,cpu-ggml,host,58.324
FLASH_ATTN_EXT,"Q{256,8,1024,1}; KV{256,2048,1,1}","{256,8,1024,1}",2048,256,8,1,1024,2048,,,,,,cpu-ggml,host,41.176
FLASH_ATTN_EXT,"Q{256,8,1024,1}; KV{256,2048,4,1}","{256,8,1024,1}",2048,256,8,4,1024,2048,,,,,,cpu-ggml,host,51.580
FLASH_ATTN_EXT,"Q{256,8,1024,1}; KV{256,8192,8,1}","{256,8,1024,1}",2048,256,8,8,1024,8192,,,,,,cpu-ggml,host,228.271
FLASH_ATTN_EXT,"Q{256,8,1024,1}; KV{256,8192,1,1}","{256,8,1024,1}",2048,256,8,1,1024,8192,,,,,,cpu-ggml,host,232.012
FLASH_ATTN_EXT,"Q{256,8,1024,1}; KV{256,8192,4,1}","{256,8,1024,1}",2048,256,8,4,1024,8192,,,,,,cpu-ggml,host,210.649
FLASH_ATTN_EXT,"Q{128,16,4,1}; KV{128,256,16,1}","{128,16,4,1}",2048,128,16,16,4,256,,,,,,cpu-ggml,host,0.034
FLASH_ATTN_EXT,"Q{128,16,4,1}; KV{128,256,1,1}","{128,16,4,1}",2048,128,16,1,4,256,,,,,,cpu-ggml,host,0.025
FLASH_ATTN_EXT,"Q{128,16,4,1}; KV{128,256,8,1}","{128,16,4,1}",2048,128,16,8,4,256,,,,,,cpu-ggml,host,0.024
FLASH_ATTN_EXT,"Q{128,16,4,1}; KV{128,2048,16,1}","{128,16,4,1}",2048,128,16,16,4,2048,,,,,,cpu-ggml,host,0.123
FLASH_ATTN_EXT,"Q{128,16,4,1}; KV{128,2048,1,1}","{128,16,4,1}",2048,128,16,1,4,2048,,,,,,cpu-ggml,host,0.265
FLASH_ATTN_EXT,"Q{128,16,4,1}; KV{128,2048,8,1}","{128,16,4,1}",2048,128,16,8,4,2048,,,,,,cpu-ggml,host,0.198
FLASH_ATTN_EXT,"Q{128,16,4,1}; KV{128,8192,16,1}","{128,16,4,1}",2048,128,16,16,4,8192,,,,,,cpu-ggml,host,0.691
FLASH_ATTN_EXT,"Q{128,16,4,1}; KV{128,8192,1,1}","{128,16,4,1}",2048,128,16,1,4,8192,,,,,,cpu-ggml,host,1.005
FLASH_ATTN_EXT,"Q{128,16,4,1}; KV{128,8192,8,1}","{128,16,4,1}",2048,128,16,8,4,8192,,,,,,cpu-ggml,host,0.994
FLASH_ATTN_EXT,"Q{128,16,64,1}; KV{128,256,16,1}","{128,16,64,1}",2048,128,16,16,64,256,,,,,,cpu-ggml,host,0.426
FLASH_ATTN_EXT,"Q{128,16,64,1}; KV{128,256,1,1}","{128,16,64,1}",2048,128,16,1,64,256,,,,,,cpu-ggml,host,0.329
FLASH_ATTN_EXT,"Q{128,16,64,1}; KV{128,256,8,1}","{128,16,64,1}",2048,128,16,8,64,256,,,,,,cpu-ggml,host,0.446
FLASH_ATTN_EXT,"Q{128,16,64,1}; KV{128,2048,16,1}","{128,16,64,1}",2048,128,16,16,64,2048,,,,,,cpu-ggml,host,3.043
FLASH_ATTN_EXT,"Q{128,16,64,1}; KV{128,2048,1,1}","{128,16,64,1}",2048,128,16,1,64,2048,,,,,,cpu-ggml,host,2.766
FLASH_ATTN_EXT,"Q{128,16,64,1}; KV{128,2048,8,1}","{128,16,64,1}",2048,128,16,8,64,2048,,,,,,cpu-ggml,host,3.881
FLASH_ATTN_EXT,"Q{128,16,64,1}; KV{128,8192,16,1}","{128,16,64,1}",2048,128,16,16,64,8192,,,,,,cpu-ggml,host,9.128
FLASH_ATTN_EXT,"Q{128,16,64,1}; KV{128,8192,1,1}","{128,16,64,1}",2048,128,16,1,64,8192,,,,,,cpu-ggml,host,14.564
FLASH_ATTN_EXT,"Q{128,16,64,1}; KV{128,8192,8,1}","{128,16,64,1}",2048,128,16,8,64,8192,,,,,,cpu-ggml,host,14.347
FLASH_ATTN_EXT,"Q{128,16,256,1}; KV{128,256,16,1}","{128,16,256,1}",2048,128,16,16,256,256,,,,,,cpu-ggml,host,2.194
FLASH_ATTN_EXT,"Q{128,16,256,1}; KV{128,256,1,1}","{128,16,256,1}",2048,128,16,1,256,256,,,,,,cpu-ggml,host,1.760
FLASH_ATTN_EXT,"Q{128,16,256,1}; KV{128,256,8,1}","{128,16,256,1}",2048,128,16,8,256,256,,,,,,cpu-ggml,host,1.160
FLASH_ATTN_EXT,"Q{128,16,256,1}; KV{128,2048,16,1}","{128,16,256,1}",2048,128,16,16,256,2048,,,,,,cpu-ggml,host,11.738
