op,in_shapes,out_shape,D,T,H,G,backend,device,avg_ms
VIEW_4D,"{256,1024,2,4}","{256,1024,2,4}",256,1024,2,4,cpu-ggml,host,0.001073
VIEW_4D,"{256,1024,2,8}","{256,1024,2,8}",256,1024,2,8,cpu-ggml,host,0.001052
VIEW_4D,"{256,1024,4,1}","{256,1024,4,1}",256,1024,4,1,cpu-ggml,host,0.001079
VIEW_4D,"{256,1024,4,2}","{256,1024,4,2}",256,1024,4,2,cpu-ggml,host,0.001074
VIEW_4D,"{256,1024,4,4}","{256,1024,4,4}",256,1024,4,4,cpu-ggml,host,0.001036
VIEW_4D,"{256,1024,4,8}","{256,1024,4,8}",256,1024,4,8,cpu-ggml,host,0.001100
VIEW_4D,"{256,1024,8,1}","{256,1024,8,1}",256,1024,8,1,cpu-ggml,host,0.001063
VIEW_4D,"{256,1024,8,2}","{256,1024,8,2}",256,1024,8,2,cpu-ggml,host,0.001030
VIEW_4D,"{256,1024,8,4}","{256,1024,8,4}",256,1024,8,4,cpu-ggml,host,0.001044
VIEW_4D,"{256,1024,8,8}","{256,1024,8,8}",256,1024,8,8,cpu-ggml,host,0.001008
VIEW_4D,"{256,1024,16,1}","{256,1024,16,1}",256,1024,16,1,cpu-ggml,host,0.001045
VIEW_4D,"{256,1024,16,2}","{256,1024,16,2}",256,1024,16,2,cpu-ggml,host,0.001121
VIEW_4D,"{256,1024,16,4}","{256,1024,16,4}",256,1024,16,4,cpu-ggml,host,0.001093
VIEW_4D,"{256,1024,16,8}","{256,1024,16,8}",256,1024,16,8,cpu-ggml,host,0.001105
VIEW_4D,"{1024,4,2,1}","{1024,4,2,1}",1024,4,2,1,cpu-ggml,host,0.001305
VIEW_4D,"{1024,4,2,2}","{1024,4,2,2}",1024,4,2,2,cpu-ggml,host,0.001226
VIEW_4D,"{1024,4,2,4}","{1024,4,2,4}",1024,4,2,4,cpu-ggml,host,0.001515
VIEW_4D,"{1024,4,2,8}","{1024,4,2,8}",1024,4,2,8,cpu-ggml,host,0.001503
VIEW_4D,"{1024,4,4,1}","{1024,4,4,1}",1024,4,4,1,cpu-ggml,host,0.000972
VIEW_4D,"{1024,4,4,2}","{1024,4,4,2}",1024,4,4,2,cpu-ggml,host,0.001507
VIEW_4D,"{1024,4,4,4}","{1024,4,4,4}",1024,4,4,4,cpu-ggml,host,0.000993
VIEW_4D,"{1024,4,4,8}","{1024,4,4,8}",1024,4,4,8,cpu-ggml,host,0.000996
VIEW_4D,"{1024,4,8,1}","{1024,4,8,1}",1024,4,8,1,cpu-ggml,host,0.000999
VIEW_4D,"{1024,4,8,2}","{1024,4,8,2}",1024,4,8,2,cpu-ggml,host,0.000968
VIEW_4D,"{1024,4,8,4}","{1024,4,8,4}",1024,4,8,4,cpu-ggml,host,0.000972
VIEW_4D,"{1024,4,8,8}","{1024,4,8,8}",1024,4,8,8,cpu-ggml,host,0.001010
VIEW_4D,"{1024,4,16,1}","{1024,4,16,1}",1024,4,16,1,cpu-ggml,host,0.001506
VIEW_4D,"{1024,4,16,2}","{1024,4,16,2}",1024,4,16,2,cpu-ggml,host,0.001211
VIEW_4D,"{1024,4,16,4}","{1024,4,16,4}",1024,4,16,4,cpu-ggml,host,0.000977
VIEW_4D,"{1024,4,16,8}","{1024,4,16,8}",1024,4,16,8,cpu-ggml,host,0.001064
VIEW_4D,"{1024,64,2,1}","{1024,64,2,1}",1024,64,2,1,cpu-ggml,host,0.000992
VIEW_4D,"{1024,64,2,2}","{1024,64,2,2}",1024,64,2,2,cpu-ggml,host,0.000991
VIEW_4D,"{1024,64,2,4}","{1024,64,2,4}",1024,64,2,4,cpu-ggml,host,0.001026
VIEW_4D,"{1024,64,2,8}","{1024,64,2,8}",1024,64,2,8,cpu-ggml,host,0.001661
VIEW_4D,"{1024,64,4,1}","{1024,64,4,1}",1024,64,4,1,cpu-ggml,host,0.001366
VIEW_4D,"{1024,64,4,2}","{1024,64,4,2}",1024,64,4,2,cpu-ggml,host,0.001057
VIEW_4D,"{1024,64,4,4}","{1024,64,4,4}",1024,64,4,4,cpu-ggml,host,0.001041
VIEW_4D,"{1024,64,4,8}","{1024,64,4,8}",1024,64,4,8,cpu-ggml,host,0.001100
VIEW_4D,"{1024,64,8,1}","{1024,64,8,1}",1024,64,8,1,cpu-ggml,host,0.001068
VIEW_4D,"{1024,64,8,2}","{1024,64,8,2}",1024,64,8,2,cpu-ggml,host,0.001308
VIEW_4D,"{1024,64,8,4}","{1024,64,8,4}",1024,64,8,4,cpu-ggml,host,0.001076
VIEW_4D,"{1024,64,8,8}","{1024,64,8,8}",1024,64,8,8,cpu-ggml,host,0.001052
VIEW_4D,"{1024,64,16,1}","{1024,64,16,1}",1024,64,16,1,cpu-ggml,host,0.001145
VIEW_4D,"{1024,64,16,2}","{1024,64,16,2}",1024,64,16,2,cpu-ggml,host,0.001148
VIEW_4D,"{1024,64,16,4}","{1024,64,16,4}",1024,64,16,4,cpu-ggml,host,0.001051
VIEW_4D,"{1024,64,16,8}","{1024,64,16,8}",1024,64,16,8,cpu-ggml,host,0.001289
VIEW_4D,"{1024,256,2,1}","{1024,256,2,1}",1024,256,2,1,cpu-ggml,host,0.001045
VIEW_4D,"{1024,256,2,2}","{1024,256,2,2}",1024,256,2,2,cpu-ggml,host,0.001045
VIEW_4D,"{1024,256,2,4}","{1024,256,2,4}",1024,256,2,4,cpu-ggml,host,0.001072
VIEW_4D,"{1024,256,2,8}","{1024,256,2,8}",1024,256,2,8,cpu-ggml,host,0.001071
VIEW_4D,"{1024,256,4,1}","{1024,256,4,1}",1024,256,4,1,cpu-ggml,host,0.001176
VIEW_4D,"{1024,256,4,2}","{1024,256,4,2}",1024,256,4,2,cpu-ggml,host,0.001052
VIEW_4D,"{1024,256,4,4}","{1024,256,4,4}",1024,256,4,4,cpu-ggml,host,0.001129
VIEW_4D,"{1024,256,4,8}","{1024,256,4,8}",1024,256,4,8,cpu-ggml,host,0.001180
VIEW_4D,"{1024,256,8,1}","{1024,256,8,1}",1024,256,8,1,cpu-ggml,host,0.001101
VIEW_4D,"{1024,256,8,2}","{1024,256,8,2}",1024,256,8,2,cpu-ggml,host,0.001100
VIEW_4D,"{1024,256,8,4}","{1024,256,8,4}",1024,256,8,4,cpu-ggml,host,0.001240
VIEW_4D,"{1024,256,8,8}","{1024,256,8,8}",1024,256,8,8,cpu-ggml,host,0.001023
VIEW_4D,"{1024,256,16,1}","{1024,256,16,1}",1024,256,16,1,cpu-ggml,host,0.001031
VIEW_4D,"{1024,256,16,2}","{1024,256,16,2}",1024,256,16,2,cpu-ggml,host,0.001077
VIEW_4D,"{1024,256,16,4}","{1024,256,16,4}",1024,256,16,4,cpu-ggml,host,0.001025
VIEW_4D,"{1024,256,16,8}","{1024,256,16,8}",1024,256,16,8,cpu-ggml,host,0.001249
VIEW_4D,"{1024,1024,2,1}","{1024,1024,2,1}",1024,1024,2,1,cpu-ggml,host,0.001066
VIEW_4D,"{1024,1024,2,2}","{1024,1024,2,2}",1024,1024,2,2,cpu-ggml,host,0.001059
VIEW_4D,"{1024,1024,2,4}","{1024,1024,2,4}",1024,1024,2,4,cpu-ggml,host,0.001058
VIEW_4D,"{1024,1024,2,8}","{1024,1024,2,8}",1024,1024,2,8,cpu-ggml,host,0.001008
VIEW_4D,"{1024,1024,4,1}","{1024,1024,4,1}",1024,1024,4,1,cpu-ggml,host,0.001059
VIEW_4D,"{1024,1024,4,2}","{1024,1024,4,2}",1024,1024,4,2,cpu-ggml,host,0.001280
VIEW_4D,"{1024,1024,4,4}","{1024,1024,4,4}",1024,1024,4,4,cpu-ggml,host,0.000998
VIEW_4D,"{1024,1024,4,8}","{1024,1024,4,8}",1024,1024,4,8,cpu-ggml,host,0.001022
VIEW_4D,"{1024,1024,8,1}","{1024,1024,8,1}",1024,1024,8,1,cpu-ggml,host,0.001009
VIEW_4D,"{1024,1024,8,2}","{1024,1024,8,2}",1024,1024,8,2,cpu-ggml,host,0.001022
VIEW_4D,"{1024,1024,8,4}","{1024,1024,8,4}",1024,1024,8,4,cpu-ggml,host,0.001011
VIEW_4D,"{1024,1024,8,8}","{1024,1024,8,8}",1024,1024,8,8,cpu-ggml,host,0.001034
VIEW_4D,"{1024,1024,16,1}","{1024,1024,16,1}",1024,1024,16,1,cpu-ggml,host,0.001031
VIEW_4D,"{1024,1024,16,2}","{1024,1024,16,2}",1024,1024,16,2,cpu-ggml,host,0.001024
VIEW_4D,"{1024,1024,16,4}","{1024,1024,16,4}",1024,1024,16,4,cpu-ggml,host,0.001037
VIEW_4D,"{1024,1024,16,8}","{1024,1024,16,8}",1024,1024,16,8,cpu-ggml,host,0.001027
