op,in_shapes,out_shape,D,T,H,group,backend,device,avg_ms
VIEW_3D,"{64,256,16,2}","{128,256,16}",64,256,16,2,cpu-ggml,host,0.000994
VIEW_3D,"{64,256,16,4}","{256,256,16}",64,256,16,4,cpu-ggml,host,0.000993
VIEW_3D,"{64,256,16,8}","{512,256,16}",64,256,16,8,cpu-ggml,host,0.001083
VIEW_3D,"{64,1024,2,1}","{64,1024,2}",64,1024,2,1,cpu-ggml,host,0.001031
VIEW_3D,"{64,1024,2,2}","{128,1024,2}",64,1024,2,2,cpu-ggml,host,0.000978
VIEW_3D,"{64,1024,2,4}","{256,1024,2}",64,1024,2,4,cpu-ggml,host,0.001001
VIEW_3D,"{64,1024,2,8}","{512,1024,2}",64,1024,2,8,cpu-ggml,host,0.001027
VIEW_3D,"{64,1024,4,1}","{64,1024,4}",64,1024,4,1,cpu-ggml,host,0.000980
VIEW_3D,"{64,1024,4,2}","{128,1024,4}",64,1024,4,2,cpu-ggml,host,0.001023
VIEW_3D,"{64,1024,4,4}","{256,1024,4}",64,1024,4,4,cpu-ggml,host,0.001032
VIEW_3D,"{64,1024,4,8}","{512,1024,4}",64,1024,4,8,cpu-ggml,host,0.001053
VIEW_3D,"{64,1024,8,1}","{64,1024,8}",64,1024,8,1,cpu-ggml,host,0.001021
VIEW_3D,"{64,1024,8,2}","{128,1024,8}",64,1024,8,2,cpu-ggml,host,0.001016
VIEW_3D,"{64,1024,8,4}","{256,1024,8}",64,1024,8,4,cpu-ggml,host,0.001044
VIEW_3D,"{64,1024,8,8}","{512,1024,8}",64,1024,8,8,cpu-ggml,host,0.001056
VIEW_3D,"{64,1024,16,1}","{64,1024,16}",64,1024,16,1,cpu-ggml,host,0.001086
VIEW_3D,"{64,1024,16,2}","{128,1024,16}",64,1024,16,2,cpu-ggml,host,0.001063
VIEW_3D,"{64,1024,16,4}","{256,1024,16}",64,1024,16,4,cpu-ggml,host,0.001017
VIEW_3D,"{64,1024,16,8}","{512,1024,16}",64,1024,16,8,cpu-ggml,host,0.001069
VIEW_3D,"{256,4,2,1}","{256,4,2}",256,4,2,1,cpu-ggml,host,0.000988
VIEW_3D,"{256,4,2,2}","{512,4,2}",256,4,2,2,cpu-ggml,host,0.000970
VIEW_3D,"{256,4,2,4}","{1024,4,2}",256,4,2,4,cpu-ggml,host,0.001247
VIEW_3D,"{256,4,2,8}","{2048,4,2}",256,4,2,8,cpu-ggml,host,0.001031
VIEW_3D,"{256,4,4,1}","{256,4,4}",256,4,4,1,cpu-ggml,host,0.000967
VIEW_3D,"{256,4,4,2}","{512,4,4}",256,4,4,2,cpu-ggml,host,0.001488
VIEW_3D,"{256,4,4,4}","{1024,4,4}",256,4,4,4,cpu-ggml,host,0.000964
VIEW_3D,"{256,4,4,8}","{2048,4,4}",256,4,4,8,cpu-ggml,host,0.000972
VIEW_3D,"{256,4,8,1}","{256,4,8}",256,4,8,1,cpu-ggml,host,0.000971
VIEW_3D,"{256,4,8,2}","{512,4,8}",256,4,8,2,cpu-ggml,host,0.000970
VIEW_3D,"{256,4,8,4}","{1024,4,8}",256,4,8,4,cpu-ggml,host,0.000972
VIEW_3D,"{256,4,8,8}","{2048,4,8}",256,4,8,8,cpu-ggml,host,0.000973
VIEW_3D,"{256,4,16,1}","{256,4,16}",256,4,16,1,cpu-ggml,host,0.001499
VIEW_3D,"{256,4,16,2}","{512,4,16}",256,4,16,2,cpu-ggml,host,0.000970
VIEW_3D,"{256,4,16,4}","{1024,4,16}",256,4,16,4,cpu-ggml,host,0.001200
VIEW_3D,"{256,4,16,8}","{2048,4,16}",256,4,16,8,cpu-ggml,host,0.000970
VIEW_3D,"{256,64,2,1}","{256,64,2}",256,64,2,1,cpu-ggml,host,0.000968
VIEW_3D,"{256,64,2,2}","{512,64,2}",256,64,2,2,cpu-ggml,host,0.000968
VIEW_3D,"{256,64,2,4}","{1024,64,2}",256,64,2,4,cpu-ggml,host,0.000969
VIEW_3D,"{256,64,2,8}","{2048,64,2}",256,64,2,8,cpu-ggml,host,0.000947
VIEW_3D,"{256,64,4,1}","{256,64,4}",256,64,4,1,cpu-ggml,host,0.000967
VIEW_3D,"{256,64,4,2}","{512,64,4}",256,64,4,2,cpu-ggml,host,0.001197
VIEW_3D,"{256,64,4,4}","{1024,64,4}",256,64,4,4,cpu-ggml,host,0.000954
VIEW_3D,"{256,64,4,8}","{2048,64,4}",256,64,4,8,cpu-ggml,host,0.001350
VIEW_3D,"{256,64,8,1}","{256,64,8}",256,64,8,1,cpu-ggml,host,0.000972
VIEW_3D,"{256,64,8,2}","{512,64,8}",256,64,8,2,cpu-ggml,host,0.000975
VIEW_3D,"{256,64,8,4}","{1024,64,8}",256,64,8,4,cpu-ggml,host,0.000984
VIEW_3D,"{256,64,8,8}","{2048,64,8}",256,64,8,8,cpu-ggml,host,0.001036
VIEW_3D,"{256,64,16,1}","{256,64,16}",256,64,16,1,cpu-ggml,host,0.000996
VIEW_3D,"{256,64,16,2}","{512,64,16}",256,64,16,2,cpu-ggml,host,0.001163
VIEW_3D,"{256,64,16,4}","{1024,64,16}",256,64,16,4,cpu-ggml,host,0.001029
VIEW_3D,"{256,64,16,8}","{2048,64,16}",256,64,16,8,cpu-ggml,host,0.001048
VIEW_3D,"{256,256,2,1}","{256,256,2}",256,256,2,1,cpu-ggml,host,0.000978
VIEW_3D,"{256,256,2,2}","{512,256,2}",256,256,2,2,cpu-ggml,host,0.001001
VIEW_3D,"{256,256,2,4}","{1024,256,2}",256,256,2,4,cpu-ggml,host,0.001057
VIEW_3D,"{256,256,2,8}","{2048,256,2}",256,256,2,8,cpu-ggml,host,0.001021
VIEW_3D,"{256,256,4,1}","{256,256,4}",256,256,4,1,cpu-ggml,host,0.001042
VIEW_3D,"{256,256,4,2}","{512,256,4}",256,256,4,2,cpu-ggml,host,0.000996
VIEW_3D,"{256,256,4,4}","{1024,256,4}",256,256,4,4,cpu-ggml,host,0.001008
VIEW_3D,"{256,256,4,8}","{2048,256,4}",256,256,4,8,cpu-ggml,host,0.001056
VIEW_3D,"{256,256,8,1}","{256,256,8}",256,256,8,1,cpu-ggml,host,0.001032
VIEW_3D,"{256,256,8,2}","{512,256,8}",256,256,8,2,cpu-ggml,host,0.001423
VIEW_3D,"{256,256,8,4}","{1024,256,8}",256,256,8,4,cpu-ggml,host,0.001056
VIEW_3D,"{256,256,8,8}","{2048,256,8}",256,256,8,8,cpu-ggml,host,0.001295
VIEW_3D,"{256,256,16,1}","{256,256,16}",256,256,16,1,cpu-ggml,host,0.001094
VIEW_3D,"{256,256,16,2}","{512,256,16}",256,256,16,2,cpu-ggml,host,0.001050
VIEW_3D,"{256,256,16,4}","{1024,256,16}",256,256,16,4,cpu-ggml,host,0.001048
VIEW_3D,"{256,256,16,8}","{2048,256,16}",256,256,16,8,cpu-ggml,host,0.001036
VIEW_3D,"{256,1024,2,1}","{256,1024,2}",256,1024,2,1,cpu-ggml,host,0.000993
VIEW_3D,"{256,1024,2,2}","{512,1024,2}",256,1024,2,2,cpu-ggml,host,0.001009
VIEW_3D,"{256,1024,2,4}","{1024,1024,2}",256,1024,2,4,cpu-ggml,host,0.001045
