row_id,split,source,name,cpus,load_vector,Q_pct,latency_ms
144,train,uniform_multi,multi_60_61_62_63_64_65_load90,"60,61,62,63,64,65","60:90,61:90,62:90,63:90,64:90,65:90",100,36.1339
145,train,uniform_multi,multi_60_61_62_63_64_65_66_67_load90,"60,61,62,63,64,65,66,67","60:90,61:90,62:90,63:90,64:90,65:90,66:90,67:90",100,32.3058
146,test,uniform_multi,multi_60_62_load90,"60,62","60:90,62:90",100,85.9401
147,train,uniform_multi,multi_61_63_load90,"61,63","61:90,63:90",100,87.9325
148,train,uniform_multi,multi_60_61_load100,"60,61","60:100,61:100",100,86.9875
149,train,uniform_multi,multi_60_61_62_63_load100,"60,61,62,63","60:100,61:100,62:100,63:100",100,53.7504
150,train,uniform_multi,multi_60_61_62_63_64_65_load100,"60,61,62,63,64,65","60:100,61:100,62:100,63:100,64:100,65:100",100,43.3606
151,train,uniform_multi,multi_60_61_62_63_64_65_66_67_load100,"60,61,62,63,64,65,66,67","60:100,61:100,62:100,63:100,64:100,65:100,66:100,67:100",100,37.0624
152,train,uniform_multi,multi_60_62_load100,"60,62","60:100,62:100",100,92.7002
153,test,uniform_multi,multi_61_63_load100,"61,63","61:100,63:100",100,87.602
154,train,heterogeneous,2core_0_50,"60,61","60:0,61:50",100,87.80160000000001
155,train,heterogeneous,2core_20_80,"60,61","60:20,61:80",100,85.77285
156,test,heterogeneous,2core_0_100,"60,61","60:0,61:100",100,86.27505
157,train,heterogeneous,4core_0_0_50_50,"60,61,62,63","60:0,61:0,62:50,63:50",100,48.968599999999995
158,test,heterogeneous,4core_0_20_60_100,"60,61,62,63","60:0,61:20,62:60,63:100",100,1319.1254999999999
159,train,heterogeneous,4core_10_30_70_90,"60,61,62,63","60:10,61:30,62:70,63:90",100,54.548249999999996
160,train,heterogeneous,6core_mixed,"60,61,62,63,64,65","60:0,61:0,62:20,63:50,64:80,65:100",100,4832.745
161,train,heterogeneous,8core_gradient,"60,61,62,63,64,65,66,67","60:0,61:10,62:20,63:30,64:60,65:70,66:90,67:100",100,40.87865
162,train,heterogeneous,8core_major_idle_minor_busy,"60,61,62,63,64,65,66,67","60:0,61:0,62:0,63:0,64:80,65:80,66:100,67:100",100,5973.51
163,train,heterogeneous,8core_alternating,"60,61,62,63,64,65,66,67","60:0,61:100,62:10,63:90,64:20,65:80,66:30,67:70",100,48.012
